Departement,Prix_m2
01,1866.1985312434722
02,1209.2012400919555
03,1040.3761970861733
04,1914.8172816360502
05,2048.3512402786855
06,3020.7412641722813
07,1679.5323380145621
08,1229.6535899404778
09,1306.5266637420682
10,1228.647343431614
11,1293.3729505664003
12,1305.3704040753566
13,3159.205562862233
14,1726.9739030998605
15,1151.0363312906063
16,1108.8435385883918
17,1503.2898736149405
18,1064.8510244041865
19,1211.6043065012577
21,1380.6259360763268
22,1264.3040160363676
23,911.9654935824481
24,1389.8498427003142
25,1596.0118402553105
26,1915.951831153236
27,1674.0157470313743
28,1596.1368912054918
29,1377.5999244594207
2A,2442.977847224489
2B,1962.298869112278
30,1956.4251019391322
31,1752.8468562700486
32,1403.926998222227
33,1669.3718780990464
34,1994.8302859325725
35,1529.6304664800148
36,1011.0981599873174
37,1475.178489919472
38,2023.0267105645123
39,1278.1960306984279
40,1577.0171411819863
41,1323.9092451152153
42,1444.4450194204715
43,1134.5212458878627
44,1834.0333467503713
45,1535.1553896038592
46,1537.1428462140573
47,1373.4038152946973
48,1353.008262755233
49,1415.9699601941923
50,1297.066526215297
51,1529.1934716505864
52,1032.642549926435
53,1132.043124093933
54,1263.7297737625693
55,999.9460643266104
56,1589.2852863506428
58,992.8349895272693
59,1520.0267335380588
60,1837.3353682553638
61,1244.0175302892112
62,1457.401486912413
63,1269.0169358200144
64,1577.0184526900373
65,1457.1922099567405
66,1774.47981922831
69,2249.3516580670735
70,1145.4402253971323
71,1301.2172845060638
72,1239.2337862283944
73,2325.6861581064672
74,3267.7473852242615
75,8180.47484402496
76,1606.275881684568
77,2264.7903857917267
78,3022.0927707768888
79,1056.3216615024287
80,1342.8694682971714
81,1404.5368308392403
82,1447.3165121142656
83,3130.9290470085457
84,2624.041613481244
85,1402.8588526992712
86,1151.0606427074872
87,1151.964781612861
88,1081.192187536347
89,1182.5944667492806
90,1465.234683838027
91,2776.9446023887085
92,5428.811160206024
93,3369.9488031376736
94,3997.652324709338
95,2841.2067644285157
na,2454.37087378641
