code_dep;prix_m2
01;2467.5431775
02;1372.3334909236153
03;1272.6444627039605
04;2380.4210002097143
05;2738.240102421769
06;3717.4249984294875
07;2240.9528616762823
08;1323.6445612976745
09;1634.5457997465455
10;1396.4939388557143
11;1606.0532435505293
12;1548.7264380915442
13;4361.099239680672
14;2423.5260614867616
15;1347.669602369953
16;1431.9276860848838
17;2104.8670107401786
18;1235.0709294244525
19;1486.6493962093118
21;1733.0335052109735
22;1908.6368456696794
23;1053.3853753243698
24;1793.4165502774467
25;1969.0755236571117
26;2599.9909357032257
27;2080.974165875226
28;1890.7504943352603
29;2107.472978154982
2A;3175.608477621359
2B;2573.503781190303
30;2594.1675056958948
31;2237.5519971490235
32;1741.693347839178
33;2388.6062699169015
34;2670.457591261682
35;2180.636133088146
36;1104.4634503195653
37;1851.1658192063196
38;2754.5206623030926
39;1692.5156100881068
40;2315.4055234055922
41;1535.7166180490347
42;1898.076218630573
43;1414.0182875024793
44;2656.991286985507
45;1765.379142560692
46;1791.6577172549646
47;1709.132356020067
48;1591.943422643077
49;1941.5500917683617
50;1890.1246919584726
51;1697.3236976223818
52;1092.9785132304794
53;1395.666550561111
54;1657.4212930615226
55;1127.2453105518716
56;2550.0958947751005
58;1166.9927086585367
59;1921.9456910034755
60;2139.8061074633915
61;1536.735423899422
62;1763.6452980991464
63;1642.4140054780544
64;2174.76143762839
65;1859.7770561028817
66;2207.2068611461905
69;3214.6431993877864
70;1316.313801494104
71;1672.2979629617141
72;1476.7744832796511
73;3280.9898380641507
74;4455.867431663043
75;10200.96477
76;2011.8696859941178
77;2721.8251493333337
78;3691.8800275776894
79;1271.70959557251
80;1583.4307715060697
81;1720.8423719679577
82;1859.4260599282484
83;3879.719431126666
84;3428.825920275168
85;2085.876774255078
86;1376.6525350164122
87;1375.058459596373
88;1311.7503947366924
89;1355.2464049667526
90;1883.2527330107528
91;3282.980981910053
92;6724.376882305555
93;4186.489905
94;4948.846885489362
95;3370.165043434286
